,Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,Language - Chinese,Language - Tamil,Language - Italian,Language - Spanish,Language - Portuguese,Language - Tagalog,Language - Urdu,Language - Russian,Language - Persian (Farsi),Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,City Grants Funding $,Walk Score,Salvation Army Donors,Watermain Breaks,Neighbourhood Equity Score,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Total Major Crime Incidents,Fire Medical Calls,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions
86,High Park-Swansea,87.0,5.3,21750.0,10030.0,11720.0,1235.0,1100.0,935.0,870.0,1030.0,1655.0,1895.0,1880.0,1865.0,1705.0,1575.0,1370.0,1235.0,885.0,655.0,560.0,565.0,730.0,20850.0,320.0,5.0,210.0,355.0,210.0,120.0,30.0,385.0,90.0,130.0,3255.0,1910.0,6000.0,3380.0,53400.0,79.0,1091.0,5.0,,1680.0,6594.0,448.0,770.0,622206.0,229.0,19.0,103.0,6.0,59.0,17.0,26.0,2.0,0.0,0.0,251.0,59.0,113.0,232.0,522.0,291.0,47.64471023,4831.9,77.0,125.0
87,High Park North,88.0,1.9,21300.0,10100.0,11190.0,1100.0,805.0,750.0,785.0,1330.0,2380.0,2250.0,1975.0,1755.0,1595.0,1475.0,1365.0,1155.0,735.0,505.0,450.0,385.0,470.0,20700.0,590.0,75.0,195.0,605.0,325.0,170.0,45.0,930.0,165.0,420.0,2645.0,2120.0,5085.0,2565.0,41800.0,84.0,789.0,1.0,,1054.0,2577.0,254.0,759.0,609689.0,241.0,29.0,125.0,8.0,106.0,26.0,14.0,1.0,0.0,3.0,225.0,53.0,101.0,309.0,744.0,145.0,23.63400611,2299.333333,61.0,87.0
88,Runnymede-Bloor West Village,89.0,1.6,9635.0,4565.0,5065.0,735.0,600.0,490.0,495.0,470.0,470.0,730.0,910.0,875.0,845.0,755.0,630.0,535.0,310.0,215.0,190.0,190.0,165.0,9420.0,190.0,5.0,165.0,140.0,115.0,70.0,10.0,50.0,15.0,40.0,1825.0,970.0,2250.0,1085.0,8670.0,81.0,427.0,0.0,,251.0,2421.0,334.0,777.0,666204.0,220.0,8.0,69.0,3.0,42.0,17.0,21.0,5.0,0.0,1.0,83.0,20.0,75.0,165.0,311.0,102.0,19.86655409,2667.5,55.0,56.0
89,Junction Area,90.0,2.6,14015.0,6820.0,7210.0,775.0,625.0,615.0,785.0,900.0,1275.0,1390.0,1285.0,1200.0,1195.0,1100.0,890.0,670.0,430.0,305.0,230.0,195.0,160.0,13355.0,565.0,25.0,175.0,500.0,780.0,290.0,35.0,105.0,25.0,65.0,2025.0,1680.0,2880.0,1320.0,12000.0,83.0,282.0,1.0,,1155.0,6528.0,631.0,733.0,532997.0,30.0,40.0,143.0,14.0,57.0,15.0,32.0,3.0,0.0,2.0,199.0,83.0,111.0,304.0,501.0,146.0,26.82264851,5993.6,93.0,164.0
90,Weston-Pellam Park,91.0,1.5,12015.0,6015.0,5990.0,660.0,655.0,715.0,825.0,815.0,965.0,955.0,915.0,925.0,1020.0,935.0,765.0,610.0,380.0,275.0,260.0,200.0,135.0,11475.0,310.0,30.0,665.0,860.0,2770.0,130.0,20.0,25.0,10.0,15.0,2035.0,1645.0,2630.0,1250.0,84270.0,75.0,83.0,4.0,,1754.0,1214.0,178.0,698.0,382119.0,84.0,58.0,125.0,26.0,44.0,17.0,23.0,7.0,0.0,0.0,128.0,22.0,64.0,300.0,353.0,104.0,16.90758145,2896.8,32.0,62.0
91,Corso Italia-Davenport,92.0,1.9,13735.0,6710.0,7035.0,705.0,620.0,625.0,840.0,950.0,1155.0,1185.0,1015.0,1015.0,1135.0,1060.0,865.0,640.0,480.0,470.0,405.0,345.0,210.0,13180.0,295.0,10.0,1855.0,1040.0,3035.0,190.0,20.0,20.0,15.0,25.0,1965.0,1800.0,3425.0,1925.0,0.0,79.0,136.0,3.0,,1294.0,2111.0,420.0,708.0,502819.0,105.0,21.0,127.0,15.0,50.0,31.0,18.0,2.0,0.0,1.0,102.0,66.0,81.0,264.0,458.0,124.0,22.390470899999997,3832.833333,73.0,78.0
92,Dovercourt-Wallace Emerson-Juncti,93.0,3.7,34635.0,17225.0,17415.0,1670.0,1345.0,1430.0,1720.0,2635.0,3770.0,3495.0,3080.0,2650.0,2675.0,2425.0,1920.0,1595.0,1235.0,1070.0,870.0,610.0,445.0,33270.0,2255.0,285.0,1260.0,1395.0,6535.0,345.0,145.0,160.0,70.0,230.0,4455.0,4355.0,7750.0,4250.0,97970.0,88.0,409.0,8.0,,3563.0,5077.0,890.0,719.0,512789.0,179.0,127.0,275.0,55.0,162.0,53.0,62.0,8.0,1.0,0.0,403.0,99.0,228.0,743.0,1145.0,286.0,47.68163149,3898.416667,137.0,204.0
93,Wychwood,94.0,1.7,13985.0,6460.0,7525.0,730.0,610.0,540.0,650.0,870.0,1010.0,1085.0,995.0,1100.0,1000.0,875.0,860.0,755.0,580.0,510.0,535.0,500.0,770.0,12855.0,630.0,15.0,555.0,540.0,795.0,205.0,0.0,85.0,50.0,105.0,1885.0,1515.0,4525.0,2915.0,24000.0,86.0,466.0,3.0,,911.0,5143.0,379.0,745.0,656868.0,84.0,15.0,91.0,13.0,58.0,23.0,15.0,5.0,0.0,1.0,140.0,56.0,96.0,220.0,507.0,75.0,22.11651935,3112.5,62.0,74.0
94,Annex,95.0,2.8,29180.0,13745.0,15415.0,865.0,695.0,635.0,870.0,3045.0,4190.0,2995.0,2085.0,1900.0,1860.0,1715.0,1680.0,1805.0,1385.0,1100.0,840.0,685.0,795.0,27380.0,1370.0,30.0,520.0,555.0,355.0,135.0,90.0,315.0,270.0,375.0,2195.0,3895.0,8305.0,4805.0,553355.0,94.0,1401.0,11.0,,1150.0,25719.0,2328.0,755.0,993491.0,201.0,33.0,272.0,46.0,155.0,38.0,39.0,20.0,1.0,2.0,777.0,161.0,257.0,604.0,1526.0,331.0,39.47685229,5810.5,120.0,290.0
95,Casa Loma,96.0,1.9,10485.0,4885.0,5600.0,375.0,375.0,405.0,405.0,655.0,1070.0,820.0,665.0,700.0,745.0,680.0,765.0,830.0,615.0,455.0,330.0,305.0,275.0,10255.0,255.0,5.0,125.0,220.0,70.0,145.0,10.0,140.0,50.0,35.0,1160.0,1065.0,3595.0,1995.0,28600.0,80.0,714.0,3.0,,189.0,3283.0,258.0,771.0,1083381.0,142.0,3.0,33.0,2.0,41.0,4.0,4.0,4.0,0.0,1.0,236.0,55.0,81.0,91.0,444.0,116.0,22.99642277,3815.5,45.0,74.0
96,Yonge-St.Clair,97.0,1.2,11655.0,5235.0,6420.0,395.0,345.0,235.0,285.0,645.0,1355.0,1125.0,900.0,860.0,755.0,715.0,760.0,820.0,755.0,525.0,445.0,365.0,395.0,11445.0,250.0,10.0,120.0,230.0,55.0,95.0,10.0,180.0,120.0,55.0,985.0,925.0,4075.0,2505.0,6500.0,84.0,1126.0,0.0,,283.0,7858.0,468.0,771.0,995616.0,20.0,0.0,27.0,5.0,62.0,3.0,8.0,6.0,0.0,0.0,175.0,28.0,67.0,111.0,312.0,99.0,12.83543094,7116.0,28.0,58.0
97,Rosedale-Moore Park,98.0,4.6,20635.0,9410.0,11220.0,690.0,875.0,925.0,1065.0,1195.0,1405.0,1150.0,1125.0,1420.0,1560.0,1605.0,1565.0,1555.0,1370.0,980.0,825.0,710.0,640.0,20250.0,515.0,5.0,160.0,310.0,80.0,185.0,40.0,185.0,180.0,150.0,2495.0,2250.0,7640.0,4525.0,38672.0,84.0,2101.0,8.0,,499.0,19160.0,683.0,777.0,1265389.0,162.0,9.0,85.0,12.0,82.0,20.0,20.0,9.0,0.0,0.0,578.0,130.0,222.0,237.0,972.0,305.0,48.24002744,3646.6206899999997,91.0,148.0
98,Mount Pleasant East,99.0,3.1,15980.0,7415.0,8565.0,1110.0,910.0,775.0,690.0,785.0,1040.0,1250.0,1405.0,1430.0,1355.0,1135.0,1040.0,955.0,700.0,490.0,375.0,265.0,275.0,15690.0,380.0,20.0,125.0,215.0,75.0,135.0,20.0,180.0,150.0,105.0,2790.0,1445.0,4110.0,2105.0,3500.0,88.0,1297.0,1.0,,288.0,4741.0,463.0,777.0,815247.0,82.0,9.0,51.0,5.0,52.0,6.0,7.0,5.0,0.0,1.0,150.0,52.0,99.0,135.0,405.0,218.0,28.31337044,5380.714286,58.0,83.0
99,Yonge-Eglinton,100.0,1.6,10580.0,5045.0,5530.0,620.0,530.0,400.0,445.0,675.0,1080.0,1055.0,885.0,850.0,740.0,625.0,735.0,655.0,470.0,255.0,240.0,160.0,165.0,10380.0,280.0,10.0,100.0,235.0,45.0,115.0,10.0,85.0,60.0,145.0,1545.0,1110.0,2670.0,1285.0,78748.0,89.0,829.0,2.0,,189.0,11746.0,690.0,759.0,975449.0,45.0,43.0,69.0,9.0,60.0,33.0,14.0,1.0,0.0,0.0,147.0,34.0,115.0,229.0,307.0,143.0,22.07398574,5391.0,67.0,134.0
100,Forest Hill South,101.0,2.5,10925.0,4980.0,5950.0,365.0,425.0,530.0,760.0,820.0,810.0,665.0,585.0,645.0,780.0,820.0,820.0,755.0,580.0,445.0,365.0,355.0,405.0,10520.0,180.0,0.0,95.0,155.0,40.0,245.0,0.0,120.0,65.0,30.0,1320.0,1590.0,3730.0,2155.0,0.0,76.0,730.0,5.0,,134.0,1945.0,175.0,775.0,1585984.0,30.0,0.0,19.0,1.0,58.0,4.0,3.0,7.0,0.0,0.0,199.0,22.0,83.0,92.0,252.0,164.0,30.25289175,5855.0,28.0,42.0
101,Forest Hill North,102.0,1.6,12475.0,5585.0,6895.0,695.0,690.0,625.0,745.0,780.0,855.0,915.0,975.0,1020.0,960.0,950.0,805.0,765.0,470.0,350.0,285.0,245.0,340.0,12155.0,225.0,5.0,145.0,475.0,85.0,750.0,20.0,485.0,65.0,85.0,2015.0,1530.0,3270.0,1700.0,0.0,77.0,392.0,3.0,,633.0,897.0,144.0,749.0,957688.0,110.0,4.0,48.0,14.0,57.0,22.0,6.0,4.0,0.0,0.0,165.0,61.0,105.0,155.0,488.0,153.0,20.41502948,5872.555556,53.0,61.0
102,Lawrence Park South,103.0,3.2,15075.0,7170.0,7895.0,780.0,1045.0,1070.0,1170.0,1020.0,790.0,715.0,915.0,1145.0,1280.0,1255.0,1130.0,925.0,660.0,385.0,285.0,280.0,185.0,14855.0,270.0,5.0,155.0,170.0,35.0,205.0,5.0,110.0,90.0,95.0,2895.0,2210.0,3825.0,1780.0,0.0,72.0,1307.0,3.0,,240.0,1634.0,167.0,784.0,1215390.0,140.0,8.0,30.0,5.0,109.0,9.0,26.0,4.0,0.0,0.0,228.0,32.0,149.0,191.0,214.0,183.0,39.90787305,4398.111111,39.0,69.0
103,Mount Pleasant West,104.0,1.3,28590.0,12895.0,15700.0,855.0,550.0,585.0,730.0,1965.0,4755.0,4125.0,2765.0,2125.0,1940.0,1640.0,1410.0,1305.0,1015.0,840.0,615.0,545.0,815.0,27655.0,1080.0,85.0,225.0,900.0,260.0,495.0,70.0,740.0,990.0,610.0,2000.0,2715.0,6540.0,3825.0,0.0,95.0,1392.0,4.0,,1343.0,13311.0,1129.0,753.0,520032.0,255.0,24.0,164.0,19.0,93.0,35.0,18.0,2.0,0.0,0.0,376.0,54.0,142.0,355.0,957.0,228.0,16.12560861,5827.571429,45.0,111.0
104,Lawrence Park North,105.0,2.3,14540.0,6915.0,7625.0,1205.0,1170.0,965.0,840.0,660.0,525.0,820.0,1265.0,1425.0,1245.0,1095.0,855.0,795.0,530.0,355.0,285.0,260.0,270.0,14205.0,355.0,10.0,180.0,140.0,60.0,145.0,15.0,135.0,90.0,165.0,3320.0,1505.0,3330.0,1690.0,0.0,78.0,1231.0,3.0,,166.0,3624.0,381.0,790.0,980831.0,212.0,2.0,33.0,4.0,56.0,13.0,27.0,6.0,0.0,1.0,104.0,28.0,138.0,141.0,290.0,218.0,29.60219911,4704.142857,55.0,46.0
105,Humewood-Cedarvale,106.0,1.9,14110.0,6440.0,7670.0,785.0,670.0,600.0,635.0,1095.0,1435.0,1315.0,1195.0,1105.0,1055.0,970.0,875.0,765.0,525.0,380.0,260.0,235.0,205.0,13680.0,220.0,15.0,350.0,605.0,255.0,780.0,20.0,140.0,50.0,120.0,2055.0,1730.0,3230.0,1590.0,0.0,80.0,302.0,2.0,,698.0,1345.0,139.0,747.0,800442.0,108.0,18.0,72.0,5.0,26.0,4.0,10.0,4.0,0.0,0.0,119.0,6.0,94.0,139.0,273.0,88.0,23.21263491,3941.0,29.0,51.0
106,Oakwood Village,107.0,2.2,21075.0,10005.0,11070.0,1125.0,985.0,1030.0,1080.0,1275.0,1500.0,1630.0,1680.0,1700.0,1620.0,1525.0,1315.0,1155.0,945.0,820.0,705.0,510.0,450.0,20205.0,570.0,25.0,1810.0,1405.0,1970.0,1070.0,35.0,165.0,40.0,110.0,3130.0,2355.0,5925.0,3440.0,50000.0,82.0,352.0,0.0,,2412.0,1573.0,255.0,713.0,482040.0,168.0,37.0,165.0,14.0,56.0,18.0,16.0,1.0,0.0,1.0,141.0,40.0,117.0,307.0,622.0,178.0,32.5587855,4503.666667,40.0,84.0
107,Briar Hill-Belgravia,108.0,1.8,14295.0,6590.0,7720.0,695.0,605.0,715.0,770.0,890.0,1075.0,1180.0,1115.0,1175.0,1290.0,1190.0,925.0,790.0,470.0,465.0,370.0,320.0,245.0,13680.0,345.0,80.0,1020.0,800.0,1100.0,1190.0,25.0,600.0,40.0,65.0,2010.0,1665.0,3580.0,1870.0,31400.0,81.0,218.0,2.0,,1432.0,3446.0,477.0,719.0,373937.0,25.0,33.0,115.0,17.0,36.0,25.0,29.0,3.0,1.0,1.0,133.0,46.0,106.0,259.0,539.0,137.0,22.483945499999997,11837.28571,45.0,93.0
